date,O-,A-,B-,AB-,O+,A+,B+,AB+
2023-04-28,2.83,1.66,4.12,2.75,2.09,2.06,2.8,6.1
2023-04-28,2.83,1.66,4.12,2.75,2.09,2.06,2.8,6.1
2023-04-30,2.83,1.66,4.12,2.75,2.09,2.06,2.8,6.1
2023-05-02,2.83,1.66,4.12,2.75,2.09,2.06,2.8,6.1
2023-05-05,2.22,1.17,2.854,1.5,1.86,1.86,2.75,2.64
2023-05-08,2.07,1.21,2.69,1.75,1.8,1.75,2.3,2.55
2023-05-09,2.93,1.63,3.31,1.88,2.99,2.52,2.91,5.18
2023-05-14,1.73,1.45,4.0,1.88,2.11,2.15,2.48,4.09
2023-05-15,1.73,1.45,4.0,1.88,2.11,2.15,2.48,4.09
2023-05-16,3.62,1.8,6.0,3.75,3.12,2.99,4.0,4.27
2023-05-18,2.24,1.53,2.85,3.25,1.62,2.19,2.25,3.73
2023-05-20,2.20,1.83,2.46,3.25,1.80,2.25,2.61,4.09
